type,subtype,level,srccountry,srcintf,srcintfrole,dstintf,dstintfrole,action,proto,service,policyid,appcat,duration,sentbyte,rcvdbyte,crscore,threat
0,0,0,4,0,0,0,0,4,6.0,2,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,6,0,0,0,0,4,6.0,4,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,2,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,2,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,5,6.0,0,42.0,1,25.0,60.0,320.0,5.0,1
0,0,0,7,0,0,0,0,4,6.0,6,74.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,2,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,5,6.0,0,59.0,1,25.0,52.0,260.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,59.0,1,25.0,52.0,260.0,5.0,1
0,0,1,10,0,0,0,0,6,1.0,9,49.0,1,0.0,0.0,0.0,5.0,2
0,0,0,0,0,0,0,0,5,6.0,0,42.0,1,25.0,60.0,320.0,5.0,1
0,0,0,4,0,0,0,0,4,6.0,2,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,2,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,2,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,2,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,10,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,6,0,0,0,0,4,6.0,11,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,2,72.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,12,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,5,6.0,0,59.0,1,10.0,52.0,0.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,59.0,1,10.0,52.0,0.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,60.0,1,25.0,260.0,260.0,5.0,1
0,0,0,6,0,0,0,0,4,6.0,4,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,5,6.0,0,59.0,1,13.0,156.0,0.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,29.0,540.0,0.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,29.0,540.0,0.0,5.0,1
0,0,0,6,0,0,0,0,4,6.0,11,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,28.0,480.0,0.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,29.0,540.0,0.0,5.0,1
0,0,0,4,0,0,0,0,4,6.0,13,79.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,29.0,540.0,0.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,34.0,600.0,0.0,5.0,1
0,0,0,6,0,0,0,0,4,6.0,11,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,14,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,6,0,0,0,0,4,17.0,15,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,27,0,0,0,0,4,17.0,16,86.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,25.0,60.0,320.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,25.0,60.0,320.0,5.0,1
0,0,1,10,0,0,0,0,6,6.0,0,49.0,1,0.0,0.0,0.0,5.0,2
0,0,1,10,0,0,0,0,6,6.0,0,49.0,1,0.0,0.0,0.0,5.0,2
0,0,0,4,0,0,0,0,4,6.0,14,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,10.0,60.0,0.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,25.0,60.0,320.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,25.0,60.0,320.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,25.0,60.0,320.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,25.0,60.0,320.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,25.0,60.0,320.0,5.0,1
0,0,0,6,0,0,0,0,4,6.0,17,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,25.0,60.0,320.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,60.0,1,25.0,260.0,0.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,25.0,60.0,320.0,5.0,1
0,0,1,10,0,0,0,0,6,6.0,0,59.0,1,0.0,0.0,0.0,5.0,2
0,0,1,10,0,0,0,0,6,6.0,0,59.0,1,0.0,0.0,0.0,5.0,2
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,25.0,60.0,320.0,5.0,1
0,0,0,4,0,0,0,0,4,6.0,2,72.0,1,0.0,0.0,0.0,30.0,2
0,0,1,10,0,0,0,0,6,6.0,0,59.0,1,0.0,0.0,0.0,5.0,2
0,0,1,10,0,0,0,0,6,6.0,0,49.0,1,0.0,0.0,0.0,5.0,2
0,0,0,6,0,0,0,0,4,6.0,18,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,14,89.0,1,0.0,0.0,0.0,30.0,2
0,0,1,10,0,0,0,0,6,6.0,0,49.0,1,0.0,0.0,0.0,5.0,2
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,10.0,60.0,0.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,25.0,60.0,320.0,5.0,1
0,0,0,6,0,0,0,0,4,6.0,4,89.0,1,0.0,0.0,0.0,30.0,2
0,0,1,10,0,0,0,0,6,6.0,0,49.0,1,0.0,0.0,0.0,5.0,2
0,0,1,10,0,0,0,0,6,6.0,0,59.0,1,0.0,0.0,0.0,5.0,2
0,0,1,10,0,0,0,0,6,6.0,0,59.0,1,0.0,0.0,0.0,5.0,2
0,0,1,10,0,0,0,0,6,1.0,9,49.0,1,0.0,0.0,0.0,5.0,2
0,0,0,0,0,0,0,0,5,6.0,0,59.0,1,10.0,52.0,0.0,5.0,1
0,0,1,10,0,0,0,0,6,6.0,0,59.0,1,0.0,0.0,0.0,5.0,2
0,0,1,10,0,0,0,0,6,6.0,0,59.0,1,0.0,0.0,0.0,5.0,2
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,25.0,60.0,320.0,5.0,1
0,0,1,10,0,0,0,0,6,6.0,0,59.0,1,0.0,0.0,0.0,5.0,2
0,0,1,10,0,0,0,0,6,6.0,0,42.0,1,0.0,0.0,0.0,5.0,2
0,0,1,10,0,0,0,0,6,6.0,0,42.0,1,0.0,0.0,0.0,5.0,2
0,0,1,10,0,0,0,0,6,6.0,0,42.0,1,0.0,0.0,0.0,5.0,2
0,0,1,10,0,0,0,0,6,6.0,0,42.0,1,0.0,0.0,0.0,5.0,2
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,17.0,240.0,0.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,17.0,240.0,0.0,5.0,1
0,0,0,4,0,0,0,0,4,6.0,14,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,6,0,0,0,0,4,6.0,11,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,25.0,60.0,320.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,59.0,1,25.0,52.0,260.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,25.0,60.0,320.0,5.0,1
0,0,1,10,0,0,0,0,6,6.0,0,59.0,1,0.0,0.0,0.0,5.0,2
0,0,1,10,0,0,0,0,6,6.0,0,59.0,1,0.0,0.0,0.0,5.0,2
0,0,0,6,0,0,0,0,4,6.0,17,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,5,6.0,0,49.0,1,25.0,60.0,320.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,59.0,1,25.0,52.0,260.0,5.0,1
0,0,1,10,0,0,0,0,6,6.0,0,59.0,1,0.0,0.0,0.0,5.0,2
0,0,0,6,0,0,0,0,4,6.0,17,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,5,6.0,0,59.0,1,10.0,52.0,0.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,59.0,1,10.0,52.0,0.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,59.0,1,10.0,52.0,0.0,5.0,1
0,0,0,4,0,0,0,0,4,6.0,19,79.0,1,0.0,0.0,0.0,30.0,2
0,0,0,6,0,0,0,0,4,6.0,20,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,2,0,0,0,0,4,17.0,21,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,6,0,0,0,0,4,6.0,17,89.0,1,0.0,0.0,0.0,30.0,2
0,0,0,0,0,0,0,0,5,6.0,0,42.0,1,53.0,364.0,8280.0,5.0,1
0,0,0,15,0,0,0,0,4,17.0,22,86.0,1,0.0,0.0,0.0,30.0,2
0,0,0,4,0,0,0,0,4,6.0,23,79.0,1,0.0,0.0,0.0,30.0,2
0,0,1,10,0,0,0,0,6,6.0,0,49.0,1,0.0,0.0,0.0,5.0,2
0,0,1,10,0,0,0,0,6,6.0,0,49.0,1,0.0,0.0,0.0,5.0,2
0,0,0,6,0,0,0,0,4,6.0,17,89.0,1,0.0,0.0,0.0,30.0,2
0,0,1,10,0,0,0,0,6,6.0,0,49.0,1,0.0,0.0,0.0,5.0,2
0,0,1,10,0,0,0,0,6,6.0,0,49.0,1,0.0,0.0,0.0,5.0,2
0,0,1,10,0,0,0,0,6,6.0,0,49.0,1,0.0,0.0,0.0,5.0,2
0,0,1,10,0,0,0,0,6,6.0,0,49.0,1,0.0,0.0,0.0,5.0,2
0,0,0,0,0,0,0,0,5,6.0,0,60.0,1,25.0,120.0,320.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,60.0,1,25.0,120.0,320.0,5.0,1
0,0,0,0,0,0,0,0,5,6.0,0,59.0,1,13.0,156.0,0.0,5.0,1
0,0,0,6,0,0,0,0,4,6.0,4,89.0,1,0.0,0.0,0.0,30.0,2
